laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
4995,HP,ProBook 440,Notebook,13.460291553674026,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.64kg,957.7392407203157
4996,Dell,Latitude 5580,Notebook,14.785863823010903,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg,1001.2255947408818
4997,HP,ZBook 17,Workstation,16.633161603165718,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,1TB HDD,AMD FirePro W6150M,Windows 7,3.0kg,2642.388438180018
4998,Asus,VivoBook L402NA,Notebook,14.945931292264905,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.65kg,291.7601076496904
4999,Asus,Zenbook UX410UA-GV027T,Notebook,13.97708627481716,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,971.0536794143559
5000,Dell,Alienware 17,Gaming,17.738331415236,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,32GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,3434.5151187355514
5001,HP,ZBook 17,Workstation,16.785971294621977,1600x900,Intel Core i5 7440HQ 2.8GHz,8GB,500GB HDD,Nvidia Quadro M1200,Windows 10,3.14kg,1614.4290100972598
5002,HP,Probook 450,Notebook,15.697569314183411,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.70GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04kg,968.7905257995544
5003,HP,EliteBook x360,2 in 1 Convertible,12.342400091494149,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.28kg,2330.3442344850487
5004,Asus,Pro P2540UA-XO0198T,Notebook,15.093471102059434,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.37kg,422.6463449219487
5005,Lenovo,IdeaPad 320-15ISK,Notebook,15.717590578979221,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.2kg,450.56159598605774
5006,Dell,Vostro 3568,Notebook,15.48065659608849,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.29kg,498.89990371416735
5007,Asus,Rog GL553VE-DS74,Gaming,15.893022566765998,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,2039.3129964627146
5008,Acer,Aspire ES1-572,Notebook,14.71632726942815,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Linux,2.4kg,359.75010473131
5009,Lenovo,ThinkPad 13,Notebook,12.751880259959878,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.44kg,1030.8962803213853
5010,HP,Chromebook 11,Netbook,12.083143848747277,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.23kg,316.6903613844447
5011,Lenovo,Yoga 500-14IBD,2 in 1 Convertible,15.07169280670538,Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.8kg,787.4758909732215
5012,Dell,Inspiron 3552,Notebook,15.983264206526702,1366x768,Intel Celeron Dual Core N3050 1.6GHz,2GB,500GB HDD,Intel HD Graphics,Windows 10,2.20kg,376.15719865422545
5013,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,16.780757028873946,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon 520,Windows 10,1.91kg,585.0607004169789
5014,Dell,Inspiron 3567,Notebook,16.103098007348454,1366x768,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,528.0366649995348
5015,HP,EliteBook 840,Notebook,14.736746798638258,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,1TB SSD,Intel HD Graphics 620,Windows 10,1.48kg,1871.7425269027092
5016,Dell,Inspiron 5567,Notebook,17.074223328996126,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,698.5933314449095
5017,Lenovo,IdeaPad 100S-14IBR,Notebook,13.005279932823994,1366x768,Intel Celeron Dual Core N3050 1.6GHz,2GB,64GB Flash Storage,Intel HD Graphics,Windows 10,1.5kg,228.69423944783728
5018,Dell,Latitude E7470,Notebook,13.397548675466428,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.56kg,1089.2832429244838
5019,HP,15-bs023nv (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.580555582781907,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,525.6238585806623
5020,Dell,XPS 13,Ultrabook,12.156087800044483,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,1363.398743315739
5021,HP,EliteBook 820,Ultrabook,11.79238764244826,1366x768,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.26kg,1440.617337851549
5022,Lenovo,Thinkpad T470p,Notebook,13.997754933537852,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.7kg,1431.1721303449624
5023,Toshiba,Portege Z30-C-1CW,Notebook,14.547735124485241,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.2kg,1633.094573165372
5024,Dell,Alienware 15,Gaming,15.716901875465394,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.49kg,2782.656260926175
5025,Toshiba,Tecra Z40-C-12Z,Notebook,14.970400656588962,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.47kg,1563.695847737121
5026,HP,EliteBook 850,Ultrabook,15.942698772913584,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 7,1.88kg,2004.1743174906155
5027,HP,ProBook 440,Notebook,15.186429217396608,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.63kg,876.6641168075921
5028,Toshiba,Tecra X40-D-10H,Ultrabook,14.398119668726315,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.24kg,1975.1721873887411
5029,Dell,Precision 7520,Workstation,16.44882188806943,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16GB,256GB SSD +  1TB HDD,Nvidia Quadro M1200,Windows 10,2.8kg,2450.5474150854016
5030,MSI,GP62M 7REX,Gaming,14.624095270271217,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2kg,1311.0186088334817
5031,Dell,Inspiron 5567,Notebook,16.69070036839752,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,1TB HDD,AMD Radeon R7 M445,Windows 10,2.3kg,1020.210503063272
5032,Samsung,Notebook 9,Ultrabook,13.382096393312386,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.31kg,1662.7378948094965
5033,HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,14.871922462474854,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.1kg,596.7550422092977
5034,Acer,Aspire A315-51,Notebook,16.52461773579802,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,493.87383449142357
5035,Dell,Vostro 5568,Notebook,16.06910199652431,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.18kg,854.6645403820678
5036,Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.12765199147763,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 510,Windows 10,2.1kg,352.04824395249153
5037,Lenovo,ThinkPad L470,Notebook,14.401631803316722,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,960.7529516576172
5038,HP,ProBook 640,Notebook,13.54329363680451,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,1.95kg,1143.9671098575432
5039,Dell,Latitude 5590,Ultrabook,14.65044468994817,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,911.0780254512206
5040,MSI,GV62M 7RD,Gaming,14.777401147412453,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,921.2813915508447
5041,Acer,Aspire 3,Notebook,16.529299871006614,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.1kg,611.3800252939068
5042,Dell,Alienware 17,Gaming,18.367816367455255,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,3316.720109329125
5043,Dell,Latitude E5570,Notebook,14.9417529087879,1366x768,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Linux,2.09kg,515.2561707200226
5044,HP,ProBook 440,Notebook,12.85726415225238,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.64kg,902.470374252805
5045,Dell,Vostro 5568,Notebook,15.759886366368413,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce GT 940MX,Linux,1.98kg,883.6168608130622
5046,Dell,Latitude E5470,Notebook,13.219946289424026,1366x768,Intel Core i3 6100U 2.3GHz,8GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.79kg,716.8603738039227
5047,MSI,GT72S Dominator,Gaming,16.65758560799938,Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,3.78kg,2837.3458167012086
5048,Lenovo,IdeaPad 110-15ISK,Notebook,14.693425690399941,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M430,No OS,2.2kg,511.6158650625563
5049,HP,ProBook 470,Notebook,17.294008519961665,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.63kg,1068.6678817490954
5050,Dell,Inspiron 3552,Notebook,16.114325075505597,1366x768,Intel Celeron Dual Core N3050 1.6GHz,2GB,500GB HDD,Intel HD Graphics,Windows 10,2.20kg,371.1230874765647
5051,Lenovo,Ideapad 520-15IKBR,Notebook,17.145058889162044,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.17kg,790.0878082445233
5052,Dell,Inspiron 3552,Notebook,16.187260469693367,1366x768,Intel Celeron Dual Core N3050 1.6GHz,2GB,500GB HDD,Intel HD Graphics,Windows 10,2.20kg,338.3564890001842
5053,Fujitsu,Lifebook A557,Notebook,15.66239832325469,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.2kg,627.0530701547617
5054,HP,Envy 13-AB020nr,Ultrabook,13.7712752325554,IPS Panel Quad HD+ 3200x1800,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.34kg,1171.796776061117
5055,Dell,Latitude 5580,Notebook,15.010110697825285,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,1201.036816707245
5056,Dell,Alienware 17,Gaming,16.139556793607284,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.36kg,2066.440259292518
5057,Dell,Inspiron 5568,2 in 1 Convertible,14.474292884738215,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 6100U 2.3GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.08kg,780.6040598558724
5058,Toshiba,Tecra Z50-C-144,Notebook,15.027716921011512,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2.2kg,1651.6104501384846
5059,Lenovo,Yoga 900S-12ISK,Ultrabook,13.033235891815382,IPS Panel Touchscreen 2560x1440,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel HD Graphics 515,Windows 10,0.99kg,1125.9575579684242
5060,Lenovo,IdeaPad 320-17IKB,Notebook,18.947722505420526,1600x900,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 940MX,No OS,2.8kg,531.0573033253307
5061,HP,ZBook 17,Workstation,16.554559403821358,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M2200,Windows 10,3.14kg,2005.0894165674424
5062,Dell,Vostro 5568,Notebook,15.452114115617666,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce GT 940MX,Windows 10,1.98kg,1045.8598960237612
5063,Lenovo,Thinkpad T570,Notebook,15.429583847655898,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.95kg,903.7998583925165
5064,Lenovo,IdeaPad 320-15IKBN,Notebook,16.733589002743845,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,No OS,2.2kg,532.1359978468723
5065,Dell,Inspiron 5579,2 in 1 Convertible,16.679030484892554,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.67kg,826.8470500934895
5066,Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Gaming,15.455609596369065,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX1060,Windows 10,2.24kg,1226.478721575099
5067,Acer,Aspire 3,Notebook,14.545175470228381,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.1kg,649.3295291647404
5068,Dell,Inspiron 5567,Notebook,14.800271213853815,1366x768,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,685.4888360047663
5069,HP,ProBook 650,Notebook,13.707135715332221,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.31kg,987.1549764457544
5070,Lenovo,IdeaPad 100S-14IBR,Notebook,13.86739394322067,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics,Windows 10,1.43kg,246.65222908555992
5071,Toshiba,Portege Z30-C-16J,Notebook,14.602026680299517,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.2kg,1437.6904870980602
5072,MSI,GE72MVR 7RG,Gaming,17.309870555079428,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,2583.9763751806718
5073,HP,255 G6,Notebook,15.337730087397471,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,422.9253121437947
5074,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,16.16781984598264,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,878.339522182962
5075,Lenovo,ThinkPad T470p,Ultrabook,12.78256895149823,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GT 940MX,Windows 10,1.96kg,2198.516989109822
5076,Lenovo,Thinkpad X1,Ultrabook,14.486783260050192,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,Windows 10,1.13kg,2759.6787248033447
5077,HP,Envy x360,2 in 1 Convertible,12.648711389103651,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.42kg,1314.6656098468518
5078,Fujitsu,LifeBook A556,Notebook,15.633371289281524,1366x768,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel HD Graphics 520,Windows 10,2.3kg,586.6829770467276
5079,Asus,Zenbook UX510UW-FI095T,Notebook,14.10159378496485,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2kg,1396.1574262666218
5080,Asus,Rog GL702VS-BA023T,Gaming,18.701796883513644,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,2322.90612576959
5081,Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,10.722532383434036,IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.25kg,441.44772372182354
5082,Toshiba,Tecra X40-D-10H,Ultrabook,13.761052078285479,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.24kg,2019.1146826990769
5083,Asus,ZenBook Flip,2 in 1 Convertible,13.699834512255153,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows 10,1.1kg,1582.2040729748312
5084,HP,ProBook 640,Notebook,14.51436650847144,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,1015.0901213866301
5085,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,16.39834822338138,1366x768,Intel Core i7 6500U 2.5GHz,4GB,500GB HDD,Nvidia GeForce 920M,Windows 10,2.2kg,817.2056124337589
5086,Acer,Aspire A515-51G-37JS,Notebook,15.372588776018667,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,Windows 10,2.2kg,660.6882386911707
5087,Lenovo,ThinkPad 13,Notebook,12.09583087798841,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.44kg,948.4333980441575
5088,Dell,Latitude 5590,Ultrabook,16.182765889701294,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,1333.7151928284275
5089,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,12.681121596874156,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.74kg,691.9800258641936
5090,HP,ProBook 430,Notebook,13.23661108597904,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49kg,621.4409466615032
5091,Asus,ZenBook Flip,2 in 1 Convertible,13.203761368078734,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Windows 10,1.1kg,1526.3713497059698
5092,HP,250 G6,Notebook,16.424001816761788,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,426.416627169119
5093,Dell,Alienware 17,Gaming,17.200978568581558,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,4.42kg,3303.327241009446
5094,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,14.224889047531887,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,773.8065930558289
5095,HP,Pavilion x360,2 in 1 Convertible,16.916991095970605,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.3kg,670.95206421833
5096,Toshiba,Satellite Pro,Notebook,15.680950139786017,1366x768,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Nvidia GeForce 930M,Windows 10,2.2kg,729.8392965371761
5097,Dell,XPS 15,Notebook,15.254875552383135,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,2012.0646222904443
5098,HP,Stream 11-Y000na,Netbook,11.870064935172557,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.17kg,211.26856922475167
5099,Acer,Chromebook CB5-571-C1DZ,Notebook,16.47394508011463,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core 3205U 1.5GHz,4GB,16GB Flash Storage,Intel HD Graphics,Chrome OS,2.20kg,332.78456940164403
5100,Microsoft,Surface Laptop,Ultrabook,12.72929739389532,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,2126.8225715161075
5101,Apple,MacBook Air,Ultrabook,13.15816240206186,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,1288.654873591905
5102,Dell,XPS 13,Ultrabook,14.37905038713675,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.29kg,1505.622856208856
5103,Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,14.741048411788313,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,500GB HDD,Intel HD Graphics,Windows 10,2.2kg,401.38102009824604
5104,Dell,Inspiron 5379,2 in 1 Convertible,13.706661546264412,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg,824.606904004713
5105,Dell,Latitude 5580,Notebook,14.34689516971832,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,Intel HD Graphics 620,Windows 10,1.9kg,1032.2759232342173
5106,Acer,TravelMate P238-M,Notebook,14.426950430324807,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.6kg,652.8501928450747
5107,Toshiba,Tecra Z50-C-144,Notebook,14.48658481707563,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2.2kg,1126.2015749174643
5108,Lenovo,ThinkPad T570,Notebook,16.734170258408117,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,1811.3085025911969
5109,MSI,GE63VR 7RF,Gaming,15.37431764119365,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8kg,2052.297144222343
5110,MSI,GE73VR 7RE,Gaming,16.21585931332517,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.8kg,2141.848692050912
5111,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,16.559928990526007,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,1082.2428936051533
5112,Acer,Aspire 3,Notebook,15.169278389297288,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,372.3458629932072
5113,Apple,"MacBook 12""",Ultrabook,11.511658366923529,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg,1648.9885015185635
5114,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,12.745639345040548,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,184.8737873820987
5115,Acer,Aspire ES1-531,Notebook,16.247170021752158,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,Linux,2.4kg,292.0645002896061
5116,Dell,Inspiron 3567,Notebook,14.519522716795446,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics,Windows 10,2.25kg,483.8914838691546
5117,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,19.020171969141295,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69kg,784.8874675147047
5118,Acer,Aspire E5-576G,Notebook,14.447041301282686,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.2kg,849.931086171619
5119,HP,Probook 450,Notebook,16.005291176899572,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.70GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04kg,1136.3385915030951
5120,Lenovo,IdeaPad 100S-14IBR,Notebook,15.272505565413844,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics,Windows 10,1.43kg,327.6096170555121
5121,Asus,ROG G701VI,Gaming,18.855406361405635,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.8kg,2460.4243346428884
